Date,FECHA,Diseño de la Mezcla,Zona,Volumen (m3),TURNO,Humedad arena (%),Arena (kg),Grava (kg),Cemento (kg),Agua (kg),RHEO 1000 (kg),BASF 719 (kg),Delvo (litros),MasterGlenium 7950,MasterGlenium 7970,Sika PP 48 (kg)-BARCHIP
2023-01-11,1/11/20231/11/20231/11/20231/11/20231/11/20231/11/20231/11/2023,Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-Development,ZONA_ZR4389ZONA_MW3299ZONA_MW3299ZONA_SU0197ZONA_SU0197ZONA_SU0197ZONA_SU0197,42.0,DIADIADIADIANOCHENOCHENOCHE,0.456,67969.0,0.0,21560.0,5410.0,361.2,126.0,42.0,0.0,0.0,168.0
2023-01-12,1/12/20231/12/20231/12/20231/12/20231/12/20231/12/20231/12/20231/12/20231/12/20231/12/20231/12/20231/12/2023,Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentDIS_BI322DIS_BI322,ZONA_KZ9739ZONA_QJ3408ZONA_KZ9739ZONA_IL2802ZONA_FG2488ZONA_FG2488ZONA_FG2488ZONA_QJ3408ZONA_OE6528ZONA_SU0197ZONA_TP6702ZONA_TP6702,62.0,DIADIADIADIADIADIANOCHENOCHENOCHENOCHENOCHENOCHE,0.6849999999999999,90573.0,13428.0,29370.0,8330.0,430.2,172.6,46.0,0.0,0.0,184.0
2023-01-13,1/13/20231/13/20231/13/20231/13/20231/13/20231/13/20231/13/20231/13/20231/13/20231/13/2023,DIS_BI322Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentDIS_BI322Shotcrete-35MPa-DevelopmentDIS_BI322,ZONA_TP6702ZONA_GD8009ZONA_KZ9739ZONA_KZ9739ZONA_CP5875ZONA_FV3705MINA-KISA 1170 CUARTO ELECTRICOMINA-KURI 1155 BODEGA # 2MINA-KISA 1170 CUARTO ELECTRICOMINA-KURI 1155 BODEGA # 2,50.0,DIADIADIADIADIADIANOCHENOCHENOCHENOCHE,0.556,71711.0,12588.0,23365.0,6690.0,333.5,186.0,35.0,0.0,0.0,140.0
2023-01-14,1/14/20231/14/20231/14/20231/14/20231/14/20231/14/20231/14/20231/14/20231/14/20231/14/20231/14/2023,Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentConcrete-21 Mpa Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-Development,ZONA_QJ3408ZONA_QJ3408ZONA_GG5481MINA-KISA 1170 C128 RECAPEOZONA_LI4673ZONA_LI4673PASTE PLANT - REPLANTILLOMINA-KISA 1245 ACCESO VENTILACIONZONA_KZ9739ZONA_KZ9739ZONA_MW3299,55.0,DIADIADIADIADIADIADIANOCHENOCHENOCHENOCHE,0.932,89550.0,1630.0,27848.0,5245.0,459.75,152.8,48.0,0.0,0.0,144.0
2023-01-15,1/15/20231/15/20231/15/20231/15/20231/15/20231/15/20231/15/20231/15/20231/15/20231/15/2023,Shotcrete-35MPa-DevelopmentDIS_BI322Shotcrete-35MPa-DevelopmentDIS_BI322Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-Development,ZONA_MO6982ZONA_IL2802ZONA_OE6528ZONA_IL2802ZONA_ZR4389ZONA_ZR4389ZONA_LE7141ZONA_LE7141ZONA_KZ9739ZONA_KZ9739,55.5,DIADIADIADIADIADIANOCHENOCHENOCHENOCHE,0.663,84274.0,8380.0,26960.0,6720.0,412.90000000000003,158.1,45.5,0.0,0.0,182.0
2023-01-16,1/16/20231/16/20231/16/20231/16/20231/16/20231/16/20231/16/20231/16/20231/16/20231/16/20231/16/20231/16/20231/16/2023,Shotcrete-35MPa-DevelopmentDIS_BI322Shotcrete-35MPa-DevelopmentDIS_BI322Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentDIS_BI322Shotcrete-35MPa-DevelopmentShotcrete-35MPa-Development,ZONA_OI1783ZONA_MW5415ZONA_TD0627ZONA_IL2802MINA-KISA 1170 BODEGA 2MINA-KISA 1170 BODEGA 2ZONA_NN7685ZONA_SD6348MINA-KISA 11 70 BODEGA #2MINA-KISA 11 70 BODEGA #2ZONA_UK9260MINA-KISA 11 70 BODEGA #2MINA-KISA 11 70 BODEGA #2,75.0,DIADIADIADIADIADIADIANOCHENOCHENOCHENOCHENOCHENOCHE,0.81,112544.0,12584.0,36200.0,9490.0,548.5,212.5,60.0,0.0,0.0,84.0
2023-01-17,1/17/20231/17/20231/17/20231/17/20231/17/20231/17/20231/17/20231/17/20231/17/2023,Shotcrete-35MPa-DevelopmentDIS_BI322DIS_BI322Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentDIS_BI322,ZONA_PN2729ZONA_IL2802ZONA_IL2802ZONA_KZ9739ZONA_KZ9739ZONA_OY9486ZONA_UX1526ZONA_QJ3408ZONA_BG7158,54.0,DIADIADIADIADIADIANOCHENOCHENOCHE,0.502,76491.0,15094.0,24960.0,7150.0,348.6,147.0,36.0,0.0,0.0,144.0
2023-01-18,1/18/20231/18/20231/18/20231/18/20231/18/2023,Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentDIS_BI322Shotcrete-35MPa-DevelopmentShotcrete-35MPa-Development,ZONA_ZR4389ZONA_ZR4389ZONA_BG7158ZONA_KZ9739ZONA_KZ9739,22.0,NOCHENOCHENOCHENOCHENOCHE,0.28400000000000003,33053.0,3360.0,10680.0,2990.0,163.4,62.6,18.0,0.0,0.0,72.0
2023-01-19,1/19/20231/19/20231/19/20231/19/20231/19/20231/19/20231/19/20231/19/20231/19/2023,Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-Development,ZONA_PN2729ZONA_BP8104ZONA_XY5255ZONA_LY3539ZONA_LY3539ZONA_ZR4389ZONA_LF9560ZONA_BP8104ZONA_BP8104,42.0,DIADIADIADIADIADIANOCHENOCHENOCHE,0.725,68899.0,0.0,21560.0,4330.0,361.2,126.0,42.0,0.0,0.0,156.0
2023-01-20,1/20/20231/20/20231/20/20231/20/20231/20/20231/20/20231/20/20231/20/2023,Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentDIS_BI322Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-Development,ZONA_TV7056ZONA_KZ9739ZONA_KZ9739ZONA_OY9486ZONA_MW5415ZONA_ZR4389ZONA_LQ1352ZONA_LQ1352,42.0,DIADIADIADIANOCHENOCHENOCHENOCHE,0.506,64496.0,5034.0,20640.0,5240.0,322.6,121.0,36.0,0.0,0.0,144.0
2023-01-21,1/21/20231/21/20231/21/20231/21/20231/21/20231/21/20231/21/20231/21/2023,Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentDIS_BI322DIS_BI322Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-Development,ZONA_BP8104ZONA_ES7698ZONA_MW5823ZONA_TP6702ZONA_IL2802ZONA_KZ9739ZONA_KZ9739ZONA_NV1512,34.0,DIADIADIADIADIANOCHENOCHENOCHE,0.473,51278.0,5040.0,16532.0,4540.0,253.8,97.0,28.0,0.0,0.0,116.0
2023-01-22,1/22/20231/22/20231/22/20231/22/20231/22/20231/22/20231/22/20231/22/20231/22/20231/22/2023,DIS_BI322DIS_BI322DIS_BI322DIS_BI322Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-Development,ZONA_YJ5353ZONA_YJ5353ZONA_IL2802ZONA_IL2802ZONA_TV7056ZONA_TV7056ZONA_ZR4389ZONA_ZR4389ZONA_KZ9739ZONA_KZ9739,51.0,DIADIADIADIANOCHENOCHENOCHENOCHENOCHENOCHE,0.505,69064.0,18460.0,22802.0,6970.0,314.2,134.6,29.0,0.0,0.0,116.0
2023-01-23,1/23/20231/23/20231/23/20231/23/20231/23/20231/23/20231/23/20231/23/20231/23/20231/23/2023,Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentDIS_BI322Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-Development,ZONA_WI2226ZONA_NV4509ZONA_BB8373ZONA_MW3299ZONA_YL3137ZONA_IL2802ZONA_MW5823ZONA_JM7606ZONA_ZR4389ZONA_ZR4389,50.0,DIADIADIADIANOCHENOCHENOCHENOCHENOCHENOCHE,0.516,78176.0,2517.0,25204.0,7400.0,410.7,147.5,47.0,0.0,0.0,188.0
2023-01-24,1/24/20231/24/20231/24/20231/24/20231/24/2023,DIS_BI322DIS_BI322Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-Development,ZONA_IL2802ZONA_HF0981ZONA_IN2443ZONA_BB8373ZONA_BB8373,30.0,NOCHENOCHENOCHENOCHENOCHE,0.35000000000000003,41925.0,10065.0,13560.0,4010.0,180.8,80.0,18.0,0.0,0.0,72.0
2023-01-25,1/25/20231/25/20231/25/20231/25/20231/25/20231/25/2023,Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-Development,ZONA_UX1526ZONA_ZR4389ZONA_TV7056ZONA_ZR4389ZONA_ZR4389ZONA_TV7056,30.0,DIADIADIANOCHENOCHENOCHE,0.40700000000000003,48695.0,0.0,15400.0,3650.0,258.0,90.0,30.0,0.0,0.0,120.0
2023-01-26,1/26/20231/26/20231/26/20231/26/20231/26/2023,Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentDIS_BI322,ZONA_OY9486ZONA_BP8104ZONA_BP8104ZONA_BB8373ZONA_UV2789,25.0,DIADIANOCHENOCHENOCHE,0.335,39460.0,1670.0,12525.0,2920.0,202.1,73.3,23.0,0.0,0.0,92.0
2023-01-27,1/27/20231/27/20231/27/2023,Shotcrete-35MPa-DevelopmentConcrete-21 Mpa Shotcrete-35MPa-Development,ZONA_LQ1352ZONA_VM5842ZONA_KZ9739,16.0,DIANOCHENOCHE,0.17099999999999999,23670.0,3250.0,7440.0,1860.0,110.9,43.7,12.0,0.0,0.0,48.0
2023-01-28,1/28/20231/28/20231/28/20231/28/20231/28/20231/28/20231/28/20231/28/20231/28/20231/28/2023,Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentDIS_BI322DIS_BI322Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentDIS_BI322,ZONA_KZ9739ZONA_KZ9739ZONA_II9496ZONA_BC1429ZONA_BC1429ZONA_ZR4389ZONA_ZR4389ZONA_II9496ZONA_II9496ZONA_MQ2351,54.0,DIADIADIADIADIANOCHENOCHENOCHENOCHENOCHE,0.559,77785.0,13430.0,25262.0,6835.0,361.4,148.6,38.0,0.0,0.0,176.0
2023-01-29,1/29/20231/29/20231/29/20231/29/20231/29/20231/29/20231/29/20231/29/2023,Concrete-21 Mpa Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentDIS_BI322DIS_BI322Shotcrete-35MPa-Development,Mantenimiento de campamentoZONA_KP8567ZONA_KP8567ZONA_II9496ZONA_GY5767ZONA_CF5926ZONA_CF5926ZONA_II9496,45.0,DIADIANOCHENOCHENOCHENOCHENOCHENOCHE,0.3935,63515.0,12480.0,20680.0,6455.0,289.8,121.8,30.0,0.0,0.0,150.0
2023-01-30,1/30/20231/30/20231/30/20231/30/20231/30/20231/30/20231/30/20231/30/20231/30/20231/30/20231/30/20231/30/20231/30/20231/30/2023,Concrete-10 Mpa Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentConcrete-21 Mpa Shotcrete-35MPa-DevelopmentConcrete-25 Mpa Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentConcrete-25 Mpa Concrete-25 Mpa Concrete-25 Mpa Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-Development,Escombrera PrincipalZONA_II9496ZONA_II9496ZONA_BC1429ZONA_II9496ZONA_XX9318ZONA_ZR4389ZONA_ZR4389ZONA_XX9318ZONA_BC1429ZONA_BC1429ZONA_II9496ZONA_II9496ZONA_II9496,76.0,DIADIADIADIADIADIADIADIADIANOCHENOCHENOCHENOCHENOCHE,0.7515,106790.0,23300.0,34180.0,10435.0,471.0,201.3,48.0,0.0,0.0,258.0
2023-01-31,1/31/20231/31/20231/31/20231/31/20231/31/20231/31/20231/31/20231/31/20231/31/20231/31/20231/31/2023,Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentConcrete-21 Mpa Concrete-21 Mpa Shotcrete-35MPa-DevelopmentDIS_BI322Shotcrete-35MPa-DevelopmentDIS_BI322Shotcrete-35MPa-DevelopmentDIS_BI322,ZONA_II9496ZONA_II9496ZONA_II9496ZONA_BC1429ZONA_BC1429ZONA_II9496ZONA_CF5926MINA-KURI 1080 REGULADOR DE VENTILACIÓNZONA_CF5926ZONA_II9496MINA-KISA 1170 SUB ESTACIÓN,68.0,DIADIADIADIADIADIANOCHENOCHENOCHENOCHENOCHE,0.5485,91330.0,26440.0,29440.0,10010.0,375.4,173.8,36.0,0.0,0.0,186.0
2023-02-01,2/1/20232/1/20232/1/20232/1/20232/1/20232/1/2023,Shotcrete-35MPa-DevelopmentDIS_BI322Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-Development,MINA-KURI 1055 RAMPA INTERNAZONA_PQ5848ZONA_MW3299ZONA_IA5418MINA-KISA 1170 BODEGA PILAR 2MINA-1270 CHIMENEA DE TRASPASO 1,35.5,DIADIADIADIANOCHENOCHE,0.306,53320.0,5040.0,17305.0,5000.0,266.7,101.5,29.5,0.0,0.0,147.5
2023-02-02,2/2/20232/2/20232/2/20232/2/20232/2/20232/2/20232/2/20232/2/20232/2/20232/2/20232/2/2023,Shotcrete-35MPa-DevelopmentDIS_BI322Concrete-35 Mpa  DIS_BI322Concrete-35 Mpa  Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentDIS_BI322Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-Development,ZONA_BP8104ZONA_II9496ZONA_BC1429ZONA_II9496ZONA_BC1429ZONA_KZ9739MINA-KURI 1080 C-162ZONA_II9496ZONA_ZR4389ZONA_ZR4389MINA-KISA 1220 C-127 TAPON,57.0,DIADIADIADIADIADIANOCHENOCHENOCHENOCHENOCHE,0.528,75145.0,22180.0,25780.0,8210.0,320.8,152.8,30.0,0.0,0.0,120.0
2023-02-03,2/3/20232/3/20232/3/20232/3/20232/3/20232/3/20232/3/20232/3/20232/3/20232/3/20232/3/20232/3/20232/3/20232/3/20232/3/20232/3/20232/3/20232/3/2023,Shotcrete-35MPa-DevelopmentDIS_BI322Concrete-10 Mpa  Concrete-10 Mpa  Concrete-21 Mpa DIS_BI322DIS_BI322DIS_BI322Concrete-21 Mpa DIS_BI322Concrete-21 Mpa Concrete-21 Mpa Concrete-21 Mpa Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentConcrete-21 Mpa Shotcrete-35MPa-DevelopmentShotcrete-35MPa-Development,MINA-KURI 1130 SUB-ESTACIÓN ELECTRICAZONA_II9496ZONA_VM5842ZONA_VM5842ZONA_VM5842ZONA_II9496ZONA_II9496ZONA_II9496ZONA_YI5008ZONA_II9496ZONA_YI5008ZONA_YI5008ZONA_YI5008MINA-KISA 1220 C-127 MINA-KISA 1220 C-127 ZONA_YI5008MINA-KURI 1130 SUB-ESTACIÓN ELECTRICAZONA_BP8104,103.0,DIADIADIADIADIADIADIANOCHENOCHENOCHENOCHENOCHENOCHENOCHENOCHENOCHENOCHENOCHE,0.815,124070.0,65180.0,37479.0,13815.0,362.5,223.1,24.0,0.0,0.0,90.0
2023-02-04,2/4/20232/4/20232/4/20232/4/20232/4/20232/4/20232/4/20232/4/20232/4/2023,DIS_BI322DIS_BI322DIS_BI322DIS_BI322Shotcrete-35MPa-DevelopmentDIS_BI322Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-Development,ZONA_II9496ZONA_II9496ZONA_II9496ZONA_II9496ZONA_ZR4389ZONA_II9496MINA-KURI 1130 SUB-ESTACIÓN ELECTRICAMINA-KURI 1130 SUB-ESTACIÓN ELECTRICAZONA_BP8104,54.0,DIADIADIADIADIANOCHENOCHENOCHENOCHE,0.446,69345.0,24820.0,23120.0,7420.0,271.4,137.0,24.0,0.0,0.0,60.0
2023-02-05,2/5/20232/5/20232/5/20232/5/20232/5/20232/5/20232/5/20232/5/20232/5/2023,DIS_BI322DIS_BI322Concrete-35 Mpa  DIS_BI322DIS_BI322Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentDIS_BI322DIS_BI322,ZONA_II9496ZONA_II9496ZONA_BC1429ZONA_II9496ZONA_II9496ZONA_MC3777ZONA_MC3777ZONA_II9496ZONA_II9496,51.0,DIADIADIANOCHENOCHENOCHENOCHENOCHENOCHE,0.5740000000000001,59950.0,31570.0,20680.0,6270.0,190.5,123.3,12.0,0.0,0.0,60.0
2023-02-06,2/6/20232/6/20232/6/20232/6/20232/6/20232/6/20232/6/20232/6/20232/6/2023,DIS_BI322Concrete-25 Mpa  DIS_BI322Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentDIS_BI322Shotcrete-35MPa-DevelopmentDIS_BI322DIS_BI322,ZONA_II9496ZONA_YI5008ZONA_II9496ZONA_KF8164ZONA_KF8164ZONA_II9496ZONA_BP8104ZONA_II9496ZONA_II9496,50.0,DIADIADIADIANOCHENOCHENOCHENOCHENOCHE,0.605,62935.0,26150.0,20760.0,5830.0,224.1,123.3,18.0,0.0,0.0,90.0
