FECHA,Arena (kg),Grava (kg),Cemento (kg),Agua (kg),RHEO 1000 (kg),BASF 719 (kg),Delvo (litros),MasterGlenium 7950,MasterGlenium 7970,Sika PP 48 (kg)-BARCHIP
1/11/2023,9697,0,3080,770,51.6,18,6,0,0,24
1/11/2023,9695,0,3080,780,51.6,18,6,0,0,24
1/11/2023,9697,0,3080,780,51.6,18,6,0,0,24
1/12/2023,9615,0,3080,860,51.6,18,6,0,0,24
1/12/2023,4810,0,1540,430,25.8,9,3,0,0,12
1/12/2023,4810,0,1540,430,25.8,9,3,0,0,12
1/12/2023,4170,3360,1440,450,8.6,8.6,0,0,0,0
1/12/2023,9615,0,3080,870,51.6,18,6,0,0,24
1/12/2023,9615,0,3080,880,51.6,18,6,0,0,24
1/12/2023,8011,0,2565,720,43,15,5,0,0,20
1/12/2023,8050,0,2565,680,43,15,5,0,0,20
1/12/2023,9660,0,3080,820,51.6,18,6,0,0,24
1/12/2023,9665,0,3080,820,51.6,18,6,0,0,24
1/12/2023,6276,5034,2160,680,13,13,0,0,0,0
1/12/2023,6276,5034,2160,690,13,13,0,0,0,0
1/13/2023,3120,2520,1080,340,6.5,65,0,0,0,0
1/13/2023,4800,0,1540,440,25.8,9,3,0,0,12
1/13/2023,4800,0,1540,440,25.8,9,3,0,0,12
1/13/2023,9610,0,3080,880,51.6,18,6,0,0,24
1/13/2023,9610,0,3080,880,51.6,18,6,0,0,24
1/13/2023,9610,0,3080,880,51.6,18,6,0,0,24
1/13/2023,7980,0,2565,760,43,15,5,0,0,20
1/13/2023,6221,5034,2160,680,13,13,0,0,0,0
1/13/2023,9660,0,3080,810,51.6,18,6,0,0,24
1/13/2023,6300,5034,2160,580,13,3,0,0,0,0
1/14/2023,9990,0,3080,450,51.6,18,6,0,0,24
1/14/2023,1670,0,513,75,8.6,3,1,0,0,4
1/14/2023,8320,0,2570,370,43,15,5,0,0,20
1/14/2023,9990,0,3080,460,51.6,18,6,0,0,24
1/14/2023,9880,0,3080,570,51.6,18,6,0,0,0
1/14/2023,9880,0,3080,580,51.6,18,6,0,0,0
1/14/2023,2250,1630,640,190,3.8,3.8,0,0,0,0
1/14/2023,8166,0,2565,550,43.15,5,0,0,0,0
1/14/2023,9800,0,3080,660,51.6,18,6,0,0,24
1/14/2023,9799,0,3080,670,51.6,18,6,0,0,24
1/14/2023,9805,0,3080,670,51.6,18,6,0,0,24
1/15/2023,9710,0,3080,770,51.6,18,6,0,0,24
1/15/2023,6310,5030,2160,600,13,13,0,0,0,0
1/15/2023,9710,0,3080,780,51.6,18,6,0,0,24
1/15/2023,4210,3350,1440,420,8.6,8.6,0,0,0,0
1/15/2023,9660,0,3080,820,51.6,18,6,0,0,24
1/15/2023,9660,0,3080,820,51.6,18,6,0,0,24
1/15/2023,9772,0,3080,700,51.6,18,6,0,0,24
1/15/2023,9770,0,3080,700,51.6,18,6,0,0,24
1/15/2023,9772,0,3080,710,51.6,18,6,0,0,24
1/15/2023,5700,0,1800,400,30.1,10.5,3.5,0,0,14
1/16/2023,9720,0,3080,750,51.6,18,6,0,0,24
1/16/2023,6320,5030,2160,580,13,13,0,0,0,0
1/16/2023,9720,0,3080,760,51.6,18,6,0,0,24
1/16/2023,3160,2520,1080,300,6.5,6.5,0,0,0,0
1/16/2023,9720,0,3080,760,51.6,18,6,0,0,0
1/16/2023,9720,0,3080,760,51.6,18,6,0,0,0
1/16/2023,9720,0,3080,770,51.6,18,6,0,0,24
1/16/2023,9641,0,3080,820,51.6,18,6,0,0,12
1/16/2023,9640,0,3080,830,51.6,18,6,0,0,0
1/16/2023,9640,0,3080,830,51.6,18,6,0,0,0
1/16/2023,9639,5034,2160,650,13,13,0,0,0,0
1/16/2023,6264,0,3080,840,51.6,18,6,0,0,0
1/16/2023,9640,0,3080,840,51.6,18,6,0,0,0
1/17/2023,9590,0,3080,900,51.6,18,6,0,0,24
1/17/2023,6230,5030,2160,660,13,13,0,0,0,0
1/17/2023,6260,5030,2160,640,13,13,0,0,0,0
1/17/2023,9620,0,3080,870,51.6,18,6,0,0,24
1/17/2023,9620,0,3080,870,51.6,18,6,0,0,24
1/17/2023,9620,0,3080,870,51.6,18,6,0,0,24
1/17/2023,9641,0,3080,840,51.6,18,6,0,0,24
1/17/2023,9640,0,3080,850,51.6,18,6,0,0,24
1/17/2023,6270,5034,2160,650,13,13,0,0,0,0
1/18/2023,9623,0,3080,860,51.6,18,6,0,0,24
1/18/2023,4810,0,1540,420,25.8,9,3,0,0,12
1/18/2023,4170,3360,1440,480,8.6,8.6,0,0,0,0
1/18/2023,9620,0,3080,820,51.6,18,6,0,0,24
1/18/2023,4830,0,1540,410,25.8,9,3,0,0,12
1/19/2023,9870,0,3080,590,51.6,18,6,0,0,24
1/19/2023,4970,0,1540,250,25.8,9,3,0,0,12
1/19/2023,4970,0,1540,250,25.8,9,3,0,0,12
1/19/2023,9850,0,3080,610,51.6,18,6,0,0,24
1/19/2023,4920,0,1540,310,25.8,9,3,0,0,12
1/19/2023,4920,0,1540,310,25.8,9,3,0,0,12
1/19/2023,9799,0,3080,660,51.6,18,6,0,0,24
1/19/2023,9800,0,3080,670,51.6,18,6,0,0,24
1/19/2023,9800,0,3080,680,51.6,18,6,0,0,12
1/20/2023,9790,0,3080,670,51.6,18,6,0,0,24
1/20/2023,9790,0,3080,680,51.6,18,6,0,0,24
1/20/2023,4850,0,1540,390,25.8,9,3,0,0,12
1/20/2023,4850,0,1540,390,25.8,9,3,0,0,12
1/20/2023,6294,5034,2160,600,13,13,0,0,0,0
1/20/2023,9641,0,3080,840,51.6,18,6,0,0,24
1/20/2023,9640,0,3080,840,51.6,18,6,0,0,24
1/20/2023,9641,0,3080,830,51.6,18,6,0,0,24
1/21/2023,8080,0,2565,650,43,15,5,0,0,20
1/21/2023,1620,0,515,130,8.6,3,1,0,0,4
1/21/2023,9660,0,3080,820,51.6,18,6,0,0,24
1/21/2023,1050,840,360,100,2.2,2.2,0,0,0,0
1/21/2023,5230,4200,1800,510,10.8,10.8,0,0,0,0
1/21/2023,9613,0,3080,870,51.6,18,6,0,0,24
1/21/2023,6410,0,2052,580,34.4,12,4,0,0,20
1/21/2023,9615,0,3080,880,51.6,18,6,0,0,24
1/22/2023,5200,4200,1800,560,10.8,10.8,0,0,0,0
1/22/2023,5200,4200,1800,580,10.8,10.8,0,0,0,0
1/22/2023,6220,5030,2160,700,13,13,0,0,0,0
1/22/2023,6220,5030,2160,700,13,13,0,0,0,0
1/22/2023,9562,0,3080,900,51.6,18,6,0,0,24
1/22/2023,4781,0,1540,450,25.8,9,3,0,0,12
1/22/2023,7970,0,2565,770,43,15,5,0,0,20
1/22/2023,7969,0,2565,770,43,15,5,0,0,20
1/22/2023,9562,0,3080,920,51.6,18,6,0,0,24
1/22/2023,6380,0,2052,620,51.6,12,4,0,0,16
1/23/2023,9600,0,3080,880,51.6,18,6,0,0,24
1/23/2023,9600,0,3080,880,51.6,18,6,0,0,24
1/23/2023,8000,0,2565,730,43,15,5,0,0,20
1/23/2023,8800,0,2822,800,47.3,16.5,5.5,0,0,22
1/23/2023,4780,0,1540,460,25.8,9,3,0,0,12
1/23/2023,3108,2517,1080,360,6.5,6.5,0,0,0,0
1/23/2023,9570,0,3080,910,51.6,18,6,0,0,24
1/23/2023,8770,0,2822,840,47.3,16.5,5.5,0,0,22
1/23/2023,9570,0,3080,920,51.6,18,6,0,0,24
1/23/2023,6378,0,2055,620,34.4,12,4,0,0,16
1/24/2023,6340,5030,2160,800,13,13,0,0,0,0
1/24/2023,6335,5035,2160,800,13,13,0,0,0,0
1/24/2023,9750,0,3080,810,51.6,18,6,0,0,24
1/24/2023,9760,0,3080,800,51.6,18,6,0,0,24
1/24/2023,9740,0,3080,800,51.6,18,6,0,0,24
1/25/2023,9750,0,3080,720,51.6,18,6,0,0,24
1/25/2023,9750,0,3080,720,51.6,18,6,0,0,24
1/25/2023,9800,0,3080,670,51.6,18,6,0,0,24
1/25/2023,9695,0,3080,770,51.6,18,6,0,0,24
1/25/2023,6465,0,2052,515,34.4,12,4,0,0,16
1/25/2023,3235,0,1028,255,17.2,6,2,0,0,8
1/26/2023,9760,0,3080,720,51.6,18,6,0,0,24
1/26/2023,9800,0,3080,670,51.6,18,6,0,0,24
1/26/2023,9710,0,3080,730,51.6,18,6,0,0,24
1/26/2023,8090,0,2565,600,43,15,5,0,0,20
1/26/2023,2100,1670,720,200,4.3,4.3,0,0,0,0
1/27/2023,9700,0,3080,770,51.6,18,6,0,0,24
1/27/2023,4370,3250,1280,370,7.7,7.7,0,0,0,0
1/27/2023,9600,0,3080,720,51.6,18,6,0,0,24
1/28/2023,8130,0,2565,600,43,15,5,0,0,20
1/28/2023,8130,0,2565,600,43,15,5,0,0,20
1/28/2023,9760,0,3080,720,51.6,18,6,0,0,24
1/28/2023,6220,5040,2160,680,13,13,0,0,0,0
1/28/2023,4150,3360,1440,450,8.6,8.6,0,0,0,0
1/28/2023,9760,0,3080,770,51.6,18,6,0,0,24
1/28/2023,6360,0,2052,535,34.4,12,4,0,0,16
1/28/2023,9535,0,3080,860,51.6,18,6,0,0,36
1/28/2023,9530,0,3080,860,51.6,18,6,0,0,36
1/28/2023,6210,5030,2160,760,13,13,0,0,0,0
1/29/2023,3270,2440,960,420,5.8,5.8,0,0,0,0
1/29/2023,9620,0,3080,870,51.6,18,6,0,0,30
1/29/2023,9560,0,3080,880,51.6,18,6,0,0,30
1/29/2023,9550,0,3080,870,51.6,18,6,0,0,30
1/29/2023,9550,0,3080,870,51.6,18,6,0,0,30
1/29/2023,6210,5030,2160,835,13,13,0,0,0,0
1/29/2023,6200,5010,2160,850,13,13,0,0,0,0
1/29/2023,9555,0,3080,860,51.6,18,6,0,0,30
1/30/2023,2480,1650,420,220,3.4,2.5,0,0,0,0
1/30/2023,9660,0,3080,820,51.6,18,6,0,0,30
1/30/2023,9660,0,3080,820,51.6,18,6,0,0,30
1/30/2023,6600,4880,1920,760,11.5,11.5,0,0,0,0
1/30/2023,9660,0,3080,820,51.6,18,6,0,0,30
1/30/2023,7260,5870,2520,780,15.1,15.1,0,0,0,0
1/30/2023,9660,0,3080,820,51.6,18,6,0,0,30
1/30/2023,9660,0,3080,820,51.6,18,6,0,0,30
1/30/2023,1040,840,360,115,2.2,2.2,0,0,0,0
1/30/2023,6215,5030,2160,900,13,13,0,0,0,0
1/30/2023,6210,5030,2160,910,13,13,0,0,0,0
1/30/2023,9565,0,3080,885,51.6,18,6,0,0,36
1/30/2023,9560,0,3080,880,51.6,18,6,0,0,36
1/30/2023,9560,0,3080,885,51.6,18,6,0,0,36
1/31/2023,9660,0,3080,820,51.6,18,6,0,0,30
1/31/2023,9615,0,3080,870,51.6,18,6,0,0,30
1/31/2023,9570,0,3080,920,51.6,18,6,0,0,30
1/31/2023,7620,5690,2240,970,13.4,13.4,0,0,0,0
1/31/2023,7620,5690,2240,970,13.4,13.4,0,0,0,0
1/31/2023,9570,0,3080,920,51.6,18,6,0,0,30
1/31/2023,6200,5030,2160,900,13,13,0,0,0,0
1/31/2023,9545,0,3080,920,51.6,18,6,0,0,30
1/31/2023,6200,5020,2160,900,13,13,0,0,0,0
1/31/2023,9540,0,3080,920,51.6,18,6,0,0,36
1/31/2023,6190,5010,2160,900,13,13,0,0,0,0
2/1/2023,9620,0,3080,870,51.6,18,6,0,0,30
2/1/2023,6180,5040,2160,710,13,13,0,0,0,0
2/1/2023,8815,0,2825,790,47.3,16.5,5.5,0,0,27.5
2/1/2023,9620,0,3080,870,51.6,18,6,0,0,30
2/1/2023,9550,0,3080,880,51.6,18,6,0,0,30
2/1/2023,9535,0,3080,880,51.6,18,6,0,0,30
2/2/2023,9570,0,3080,920,51.6,18,6,0,0,30
2/2/2023,6200,5040,2160,710,13,13,0,0,0,0
2/2/2023,4840,3930,2200,800,13.2,13.2,0,0,0,0
2/2/2023,6200,5040,2160,710,13,13,0,0,0,0
2/2/2023,3870,3150,1700,640,10.6,10.6,0,0,0,0
2/2/2023,9570,0,3080,920,51.6,18,6,0,0,0
2/2/2023,9570,0,3080,880,51.6,18,6,0,0,30
2/2/2023,6210,5020,2160,850,13,13,0,0,0,0
2/2/2023,9560,0,3080,890,51.6,18,6,0,0,30
2/2/2023,4785,0,1540,445,25.8,9,3,0,0,15
2/2/2023,4770,0,1540,445,25.8,9,3,0,0,15
2/3/2023,9570,0,3080,920,51.6,18,6,0,0,0
2/3/2023,6190,5040,2160,710,13,13,0,0,0,0
2/3/2023,7415,4960,1260,700,10.1,7.6,0,0,0,0
2/3/2023,7415,4960,1260,700,10.1,7.6,0,0,0,0
2/3/2023,6500,4880,1920,860,11.5,11.5,0,0,0,0
2/3/2023,6190,5040,2160,720,13,13,0,0,0,0
2/3/2023,6190,5040,2160,720,13,13,0,0,0,0
2/3/2023,6190,5040,2160,720,13,13,0,0,0,0
2/3/2023,7590,5695,2240,1000,13.4,13.4,0,0,0,0
2/3/2023,6185,5030,2160,820,13,13,0,0,0,0
2/3/2023,7595,5690,2240,1000,13.4,13.4,0,0,0,0
2/3/2023,7600,5680,2240,950,13.4,13.4,0,0,0,0
2/3/2023,7590,5685,2240,950,13.4,13.4,0,0,0,0
2/3/2023,9530,0,3080,885,51.6,18,6,0,0,30
2/3/2023,9535,0,3080,885,51.6,18,6,0,0,30
2/3/2023,3260,2440,960,390,5.8,5.8,0,0,0,0
2/3/2023,3175,0,1026,295,17.2,6,2,0,0,10
2/3/2023,6350,0,2053,590,34.4,12,4,0,0,20
2/4/2023,6190,4980,2160,770,13,13,0,0,0,0
2/4/2023,6190,4980,2160,770,13,13,0,0,0,0
2/4/2023,6190,4980,2160,770,13,13,0,0,0,0
2/4/2023,6190,4980,2160,780,13,13,0,0,0,0
2/4/2023,9570,0,3080,920,51.6,18,6,0,0,30
2/4/2023,6220,4900,2160,900,13,13,0,0,0,0
2/4/2023,9600,0,3080,840,51.6,18,6,0,0,0
2/4/2023,9585,0,3080,840,51.6,18,6,0,0,0
2/4/2023,9610,0,3080,830,51.6,18,6,0,0,30
2/5/2023,6280,4910,2160,740,13,13,0,0,0,0
2/5/2023,6280,4910,2160,740,13,13,0,0,0,0
2/5/2023,5890,4600,2640,990,15.8,15.8,0,0,0,0
2/5/2023,6295,4900,2160,690,13,13,0,0,0,0
2/5/2023,6300,4890,2160,690,13,13,0,0,0,0
2/5/2023,9720,0,3080,700,51.6,18,6,0,0,30
2/5/2023,9710,0,3080,700,51.6,18,6,0,0,30
2/5/2023,6315,4910,2160,680,13,13,0,0,0,0
2/5/2023,3160,2450,1080,340,6.5,6.5,0,0,0,0
2/6/2023,6340,4910,2160,670,13,13,0,0,0,0
2/6/2023,2120,1640,720,230,4.3,4.3,0,0,0,0
2/6/2023,6340,4910,2160,670,13,13,0,0,0,0
2/6/2023,9760,0,3080,720,51.6,18,6,0,0,30
2/6/2023,9760,0,3080,720,51.6,18,6,0,0,30
2/6/2023,6310,4900,2160,710,13,13,0,0,0,0
2/6/2023,9700,0,3080,750,51.6,18,6,0,0,30
2/6/2023,6300,4890,2160,680,13,13,0,0,0,0
2/6/2023,6305,4900,2160,680,13,13,0,0,0,0
2/7/2023,3941,3068,1760,620,10.6,10.6,0,0,0,0
2/7/2023,6663,4761,1920,780,11.5,11.5,0,0,0,0
2/7/2023,6340,4909,2160,670,13,13,0,0,0,0
2/7/2023,6336,4909,2160,680,13,13,0,0,0,0
2/7/2023,6340,4910,2160,660,13,13,0,0,0,0
2/7/2023,9750,0,3080,715,51.6,18,6,0,0,30
2/7/2023,9750,0,3080,710,51.6,18,6,0,0,30
2/7/2023,6340,4910,2160,680,13,13,0,0,0,0
2/8/2023,4867,0,1540,360,25.8,9,3,0,0,15
2/8/2023,9679,0,3080,780,51.6,18,6,0,0,30
2/8/2023,6288,4909,2160,710,13,13,0,0,0,0
2/8/2023,9680,0,3080,790,51.6,18,6,0,0,30
2/8/2023,6288,4909,2160,720,13,13,0,0,0,0
2/8/2023,6290,4910,2160,720,13,13,0,0,0,0
2/8/2023,9680,0,3080,790,51.6,18,6,0,0,30
2/8/2023,9680,0,3080,790,51.6,18,6,0,0,30
2/8/2023,9680,0,3080,790,51.6,18,6,0,0,30
2/9/2023,6252,4909,2160,750,13,13,0,0,0,0
2/9/2023,6250,4909,2160,750,13,13,0,0,0,0
2/9/2023,6244,4027,1050,600,8.4,6.3,0,0,0,0
2/9/2023,6244,4027,1050,600,8.4,6.3,0,0,0,0
2/9/2023,6252,4909,2160,760,13,13,0,0,0,0
2/9/2023,6837,5368,3080,1100,18.5,18.5,0,0,0,0
2/9/2023,9623,0,3080,840,51.6,18,6,0,0,30
2/9/2023,9660,0,3080,800,51.6,18,6,0,0,30
2/9/2023,1961,1534,880,320,5.3,5.3,0,0,0,0
2/9/2023,981,767,440,150,2.6,2.6,0,0,0,0
2/9/2023,9700,0,3080,780,51.6,18,6,0,0,30
2/9/2023,9700,0,3080,780,51.6,18,6,0,0,30
2/9/2023,9700,0,3080,780,51.6,18,6,0,0,30
2/9/2023,6300,4910,2160,710,13,13,0,0,0,0
2/9/2023,9700,0,3080,780,51.6,18,6,0,0,30
2/9/2023,6300,4910,2160,720,13,13,0,0,0,0
2/10/2023,9651,0,3080,810,51.6,18,6,0,0,0
2/10/2023,6270,4909,2160,750,13,13,0,0,0,0
2/10/2023,6270,4909,2160,750,13,13,0,0,0,0
2/10/2023,9613,0,3080,850,51.6,18,6,0,0,0
2/10/2023,9610,0,3080,850,51.6,18,6,0,0,0
2/10/2023,9730,0,3080,720,51.6,18,6,0,0,0
2/10/2023,6320,4910,2160,680,13,13,0,0,0,0
2/10/2023,9730,0,3080,720,51.6,18,6,0,0,30
2/11/2023,9613,0,3080,820,51.6,18,6,0,0,30
2/11/2023,9620,0,3080,820,51.6,18,6,0,0,30
2/11/2023,6246,4909,2160,750,13,13,0,0,0,0
2/11/2023,5895,4601,2640,970,15.8,15.8,0,0,0,0
2/11/2023,9680,0,3080,760,51.6,18,6,0,0,30
2/11/2023,6320,4910,2160,680,13,13,0,0,0,0
2/11/2023,6320,4910,2160,680,13,13,0,0,0,0
2/11/2023,6320,4919,2160,680,13,13,0,0,0,0
2/11/2023,9750,0,3080,700,51.6,18,6,0,0,30
2/11/2023,6340,4910,2160,660,13,13,0,0,0,0
2/11/2023,9750,0,3080,700,51.6,18,6,0,0,30
2/12/2023,6312,4909,2160,680,13,13,0,0,0,0
2/12/2023,6315,4909,2160,680,13,13,0,0,0,0
2/12/2023,9734,0,3080,740,51.6,18,6,0,0,0
2/12/2023,6400,4910,2160,580,13,13,0,0,0,0
2/12/2023,6400,4910,2160,580,13,13,0,0,0,0
2/13/2023,9818,0,3080,650,51.6,18,6,0,0,30
2/13/2023,9820,0,3080,640,51.6,18,6,0,0,30
2/13/2023,9818,0,3080,650,51.6,18,6,0,0,30
2/13/2023,6400,4909,2160,620,13,13,0,0,0,0
2/13/2023,6324,4909,2160,670,13,13,0,0,0,0
2/13/2023,6324,4909,2160,670,13,13,0,0,0,0
2/13/2023,4190,3270,1440,480,8.6,8.6,0,0,0,0
2/13/2023,630,400,110,40,0.8,0.6,0,0,0,0
2/14/2023,6294,4909,2160,720,13,13,0,0,0,0
2/14/2023,6294,4909,2160,710,13,13,0,0,0,0
2/14/2023,6290,4910,2160,680,13,13,0,0,0,0
2/14/2023,9680,0,3080,790,51.6,18,6,0,0,30
2/14/2023,9680,0,3080,790,51.6,18,6,0,0,30
2/14/2023,6290,4910,2160,680,13,13,0,0,0,0
2/15/2023,6258,4909,2160,740,13,0,0,0,0,0
2/15/2023,6260,4909,2160,740,13,0,0,0,0,0
2/15/2023,10117,0,2850,700,0,0,3,35.6,0,30
2/15/2023,6290,4910,2160,680,13,13,0,0,0,0
2/15/2023,9680,0,3080,790,51.6,18,6,0,0,30
2/15/2023,9680,0,3080,790,51.6,18,6,0,0,30
2/15/2023,6290,4910,2160,680,13,13,0,0,0,0
2/15/2023,6290,4910,2160,680,13,13,0,0,0,0
2/16/2023,4205,3273,1440,470,8.6,8.6,0,0,0,0
2/16/2023,10137,0,2700,650,0,0,2.7,33.8,0,30
2/16/2023,1577,1230,540,180,3.2,3.2,0,0,0,0
2/16/2023,9620,0,3080,860,51.6,18,6,0,0,30
2/16/2023,8010,0,2565,730,43,15,5,0,0,25
2/17/2023,9604,0,3080,860,51.6,18,6,0,0,30
2/17/2023,9600,0,3080,860,51.6,18,6,0,0,30
2/17/2023,6246,4909,2160,760,13,13,0,0,0,0
2/17/2023,9590,0,3080,880,51.6,18,6,0,0,30
2/17/2023,3120,2450,1080,370,6.5,6.5,0,0,0,0
2/17/2023,9590,0,3080,880,51.6,18,6,0,0,30
2/17/2023,9590,0,3080,880,51.6,18,6,0,0,30
2/17/2023,6230,4910,2160,760,13,13,0,0,0,0
2/17/2023,9590,0,3080,880,51.6,18,6,0,0,30
2/18/2023,9586,0,3080,880,51.6,18,6,0,0,30
2/18/2023,9580,0,3080,880,51.6,18,6,0,0,30
2/18/2023,6230,4909,2160,790,13,13,0,0,0,0
2/18/2023,4793,0,1540,440,25.8,9,3,0,0,15
2/18/2023,9590,0,3080,890,51.6,18,6,0,0,30
2/18/2023,2590,2050,900,300,5.4,5.4,0,0,0,0
2/18/2023,9570,0,3080,920,51.6,18,6,0,0,30
2/18/2023,9570,0,3080,920,51.6,18,6,0,0,30
2/18/2023,6220,4910,2160,780,13,13,0,0,0,0
2/18/2023,1550,1230,540,190,3.2,3.2,0,0,0,0
2/19/2023,3208,0,1026,280,17.2,6,2,0,0,10
2/19/2023,6415,0,2052,560,34.4,12,4,0,0,20
